# Pixel positions of the trace in the spatial direction, Width of the trace
8.200579613210378227e+01,1.200440140303409731e+00
8.200370115483001143e+01,1.200440140303409731e+00
8.200160356447986487e+01,1.200440140303409731e+00
8.199950336596754141e+01,1.200440140303409731e+00
8.199740056420723988e+01,1.200440140303409731e+00
8.199529516411313068e+01,1.200440140303409731e+00
8.199318717059942685e+01,1.200440140303409731e+00
8.199107658858029879e+01,1.200440140303409731e+00
8.198896342296994533e+01,1.200440140303409731e+00
8.198684767868256529e+01,1.200440140303409731e+00
8.198472936063234329e+01,1.200440140303409731e+00
8.198260847373347815e+01,1.200440140303409731e+00
8.198048502290014028e+01,1.200440140303409731e+00
8.197835901304654271e+01,1.200440140303409731e+00
8.197623044908687007e+01,1.200440140303409731e+00
8.197409933593530695e+01,1.200440140303409731e+00
8.197196567850603799e+01,1.200440140303409731e+00
8.196982948171327621e+01,1.200440140303409731e+00
8.196769075047119202e+01,1.200440140303409731e+00
8.196554948969399845e+01,1.200440140303409731e+00
8.196340570429585171e+01,1.200440140303409731e+00
8.196125939919097902e+01,1.200440140303409731e+00
8.195911057929355081e+01,1.200440140303409731e+00
8.195695924951776590e+01,1.200440140303409731e+00
8.195480541477782310e+01,1.200440140303409731e+00
8.195264907998789283e+01,1.200440140303409731e+00
8.195049025006217391e+01,1.200440140303409731e+00
8.194832892991486517e+01,1.200440140303409731e+00
8.194616512446013701e+01,1.200440140303409731e+00
8.194399883861221667e+01,1.200440140303409731e+00
8.194183007728526036e+01,1.200440140303409731e+00
8.193965884539348110e+01,1.200440140303409731e+00
8.193748514785104931e+01,1.200440140303409731e+00
8.193530898957217801e+01,1.200440140303409731e+00
8.193313037547105182e+01,1.200440140303409731e+00
8.193094931046185536e+01,1.200440140303409731e+00
8.192876579945877324e+01,1.200440140303409731e+00
8.192657984737601851e+01,1.200440140303409731e+00
8.192439145912776155e+01,1.200440140303409731e+00
8.192220063962820120e+01,1.200440140303409731e+00
8.192000739379152208e+01,1.200440140303409731e+00
8.191781172653193721e+01,1.200440140303409731e+00
8.191561364276360280e+01,1.200440140303409731e+00
8.191341314740074608e+01,1.200440140303409731e+00
8.191121024535753747e+01,1.200440140303409731e+00
8.190900494154816158e+01,1.200440140303409731e+00
8.190679724088681724e+01,1.200440140303409731e+00
8.190458714828770326e+01,1.200440140303409731e+00
8.190237466866500426e+01,1.200440140303409731e+00
8.190015980693291908e+01,1.200440140303409731e+00
8.189794256800561811e+01,1.200440140303409731e+00
8.189572295679730018e+01,1.200440140303409731e+00
8.189350097822217833e+01,1.200440140303409731e+00
8.189127663719442296e+01,1.200440140303409731e+00
8.188904993862821868e+01,1.200440140303409731e+00
8.188682088743776433e+01,1.200440140303409731e+00
8.188458948853725872e+01,1.200440140303409731e+00
